发布日期,收盘指数,开盘指数,最高指数,最低指数,成交量(亿股),成交额(亿元),涨跌幅(%)
2022/5/20 0:00,3259.34,3223.16,3267.41,3220.7,25.14,243.93,0.77
2022/5/19 0:00,3234.45,3211.6,3265,3208.24,25.61,254.88,-0.86
2022/5/18 0:00,3262.52,3255.59,3280.32,3245.07,21.21,204.77,-0.17
2022/5/17 0:00,3267.97,3301.25,3301.25,3255.96,26.54,268.17,-1.14
2022/5/16 0:00,3305.64,3241.51,3311.6,3221.92,30.75,301.98,3.09
2022/5/13 0:00,3206.47,3226.7,3240.88,3161.24,19.43,199.36,-0.26
2022/5/12 0:00,3214.98,3225.98,3278.8,3177.61,18.85,183.97,-0.95
2022/5/11 0:00,3245.87,3279.62,3288.59,3243.94,26,249.19,-1.03
2022/5/10 0:00,3279.8,3214.73,3279.8,3178.13,21.38,200.35,0.81
2022/5/6 0:00,3210.22,3198.89,3239.39,3179.68,19.67,179.46,-1.35
2022/4/29 0:00,3211.55,3223.12,3260.43,3184.46,23.13,225.54,-0.33
2022/4/28 0:00,3222.3,3287.8,3287.8,3174.18,21.06,186.95,-2.83
2022/4/27 0:00,3316.21,3160.52,3316.21,3104.19,27.01,242.93,3.99
2022/4/26 0:00,3189.05,3297.9,3313.85,3183.11,27.28,251.54,-3.23
2022/4/25 0:00,3295.6,3412.97,3480.72,3295.6,28.74,285.52,-4.65
2022/4/22 0:00,3456.23,3506.51,3512.61,3410.14,29.3,284.8,-2.79
2022/4/21 0:00,3555.45,3698.71,3767.17,3546.4,39.87,418.63,-4.51
2022/4/20 0:00,3723.47,3736.86,3807.96,3715.59,41.25,444.8,-1.07
2022/4/19 0:00,3763.67,3705.84,3819.26,3704.08,40.7,447.9,2.28
2022/4/18 0:00,3679.76,3553.66,3679.76,3548.68,28.63,286.59,3.43
2022/4/15 0:00,3557.63,3575.88,3624,3535.39,27.64,262.25,-1.04
2022/4/13 0:00,3547.16,3607.14,3632.3,3547.16,31.62,303.89,-2.02
2022/4/12 0:00,3620.24,3565.71,3620.9,3546.03,29.51,279.35,0.82
2022/4/11 0:00,3590.67,3517.22,3647.93,3517.22,35.87,354.81,2.08
2022/4/8 0:00,3517.4,3579.06,3579.63,3470.15,24.51,234.16,-1.84
2022/4/7 0:00,3583.16,3671.22,3688.01,3583.16,28.25,278.14,-3.07
2022/4/6 0:00,3696.71,3671.65,3737.37,3671.65,28.57,278.13,0.13
2022/4/1 0:00,3691.73,3700.7,3739.49,3660.25,29.34,293.14,0.29
2022/3/30 0:00,3717.52,3673.49,3725.18,3659.14,37.41,364.2,-0.1
2022/3/29 0:00,3721.21,3613.36,3750.82,3595.79,36.4,366.73,2.58
2022/3/28 0:00,3627.72,3634.52,3660.81,3593.62,33.07,324.65,0.31
2022/3/25 0:00,3616.6,3575.28,3693.08,3564.86,31.12,310.66,1.08
2022/3/24 0:00,3577.82,3577.42,3613.46,3566.92,21.54,213.69,-0.47
2022/3/22 0:00,3604.28,3563.96,3642.63,3543.51,26.45,280.12,0.98
2022/3/21 0:00,3569.38,3487.66,3603.15,3480.75,31.31,296.05,2.57
2022/3/18 0:00,3479.97,3379.68,3488.99,3371.8,21,196.18,2.53
